date,CH4_mean,NMHC_mean,PM25_mean,THC_mean
2012-03-09,189.958,7.208,53.583,197.167
2012-03-10,192.957,6.826,25.125,199.783
2012-03-11,192.636,3.364,8.435,196.0
2012-03-12,190.625,7.042,10.792,197.667
2012-03-13,188.792,8.75,14.792,197.542
2012-03-14,192.417,2.875,10.625,195.292
2012-03-15,191.667,5.208,10.125,196.875
2012-03-16,191.75,7.208,23.917,198.958
2012-03-17,190.696,5.13,35.542,195.826
2012-03-18,185.565,6.087,24.783,191.652
2012-03-19,187.083,6.542,20.292,193.625
2012-03-20,188.75,7.75,22.833,196.5
2012-03-21,189.625,3.958,6.208,193.583
2012-03-22,188.833,5.875,8.667,194.708
2012-03-23,188.0,4.25,13.208,192.25
2012-03-24,190.391,3.217,13.917,193.609
2012-03-25,190.217,3.087,15.174,193.304
2012-03-26,192.625,2.917,11.875,195.542
2012-03-27,192.125,6.25,13.333,198.375
2012-03-28,188.333,5.583,11.292,193.917
2012-03-29,188.958,3.958,15.783,192.917
2012-03-30,190.875,2.875,13.667,193.75
2012-03-31,189.348,5.0,13.708,194.348
2012-04-01,,,10.0,
2012-04-02,,,14.182,
2012-04-03,,,11.87,
2012-04-04,,,10.958,
2012-04-05,,,20.292,
2012-04-06,,,12.0,
2012-04-07,,,9.792,
2012-04-08,,,13.958,
2012-04-09,,,25.591,
2012-04-10,,,33.625,
2012-04-11,,,16.583,
2012-04-12,,,14.167,
2012-04-13,,,21.0,
2012-04-14,,,15.667,
2012-04-15,,,13.042,
2012-04-16,,,17.522,
2012-04-17,,,18.083,
2012-04-18,,,16.75,
2012-04-19,,,17.292,
2012-04-20,,,15.792,
2012-04-21,,,15.667,
2012-04-22,,,6.042,
2012-04-23,,,11.182,
2012-04-24,,,47.083,
2012-04-25,,,47.208,
2012-04-26,,,22.25,
2012-04-27,,,9.208,
2012-04-28,,,11.5,
2012-04-29,,,22.417,
2012-04-30,,,23.0,
2012-05-01,,,9.542,
2012-05-02,,,4.083,
2012-05-03,,,5.208,
2012-05-04,,,1.625,
2012-05-05,,,15.875,
2012-05-06,,,21.375,
2012-05-07,,,20.609,
2012-05-08,,,30.208,
2012-05-09,,,40.292,
2012-05-10,,,17.417,
2012-05-11,,,3.708,
2012-05-12,,,5.292,
2012-05-13,,,7.625,
2012-05-14,,,10.909,
2012-05-15,,,4.958,
2012-05-16,,,22.833,
2012-05-17,,,32.542,
2012-05-18,,,25.042,
2012-05-19,,,20.167,
2012-05-20,,,20.739,
2012-05-21,,,15.727,
2012-05-22,,,20.364,
2012-05-23,,,14.0,
2012-05-24,,,17.348,
2012-05-25,,,23.417,
2012-05-26,,,23.083,
2012-05-27,,,25.042,
2012-05-28,,,33.773,
2012-05-29,,,35.5,
2012-05-30,,,12.75,
2012-05-31,,,17.875,
2012-06-01,,,21.708,
2012-06-02,,,21.0,
2012-06-03,,,17.667,
2012-06-04,,,16.174,
2012-06-05,,,14.833,
2012-06-06,,,14.583,
2012-06-07,,,18.208,
2012-06-08,,,24.875,
2012-06-09,,,3.667,
2012-06-10,,,12.708,
2012-06-11,,,11.045,
2012-06-12,,,6.875,
2012-06-13,,,7.417,
2012-06-14,,,11.833,
2012-06-15,,,15.25,
2012-06-16,,,4.917,
2012-06-17,,,2.958,
2012-06-18,,,10.087,
2012-06-19,,,9.042,
2012-06-20,,,3.375,
2012-06-21,,,10.083,
2012-06-22,,,3.083,
2012-06-23,,,4.958,
2012-06-24,,,11.292,
2012-06-25,,,15.522,
2012-06-26,,,15.125,
2012-06-27,,,16.833,
2012-06-28,,,17.042,
2012-06-29,,,14.783,
2012-06-30,,,21.13,
2012-07-01,,,11.875,
2012-07-02,,,6.87,
2012-07-03,,,9.5,
2012-07-04,,,11.875,
2012-07-05,,,15.792,
2012-07-06,,,5.458,
2012-07-07,,,6.25,
2012-07-08,,,10.958,
2012-07-09,,,11.304,
2012-07-10,,,16.636,
2012-07-11,,,11.667,
2012-07-12,,,6.917,
2012-07-13,,,18.167,
2012-07-14,,,14.917,
2012-07-15,,,11.542,
2012-07-16,,,8.792,
2012-07-17,,,11.182,
2012-07-18,,,10.435,
2012-07-19,,,9.333,
2012-07-20,,,8.208,
2012-07-21,,,5.0,
2012-07-22,,,9.667,
2012-07-23,,,15.174,
2012-07-24,,,19.652,
2012-07-25,,,26.667,
2012-07-26,,,30.208,
2012-07-27,,,33.5,
2012-07-28,,,29.875,
2012-07-29,,,26.708,
2012-07-30,,,18.091,
2012-07-31,,,8.542,
2012-08-01,,,7.455,
2012-08-02,,,8.0,
2012-08-03,,,8.913,
2012-08-04,,,9.375,
2012-08-05,,,5.625,
2012-08-06,,,5.909,
2012-08-07,,,8.167,
2012-08-08,,,7.125,
2012-08-09,,,8.125,
2012-08-10,,,21.25,
2012-08-11,,,17.958,
2012-08-12,,,11.333,
2012-08-13,,,11.783,
2012-08-14,,,6.217,
2012-08-15,,,8.333,
2012-08-16,,,7.083,
2012-08-17,,,10.0,
2012-08-18,,,9.75,
2012-08-19,,,6.167,
2012-08-20,,,8.087,
2012-08-21,,,10.125,
2012-08-22,,,5.958,
2012-08-23,,,7.957,
2012-08-24,,,10.81,
2012-08-25,,,9.833,
2012-08-26,,,11.478,
2012-08-27,,,7.261,
2012-08-28,,,8.75,
2012-08-29,,,6.75,
2012-08-30,,,8.375,
2012-08-31,,,7.75,
2012-09-01,,,7.292,
2012-09-02,,,9.583,
2012-09-03,,,6.261,
2012-09-04,,,12.708,
2012-09-05,,,14.375,
2012-09-06,,,9.625,
2012-09-07,,,10.542,
2012-09-08,,,8.917,
2012-09-09,,,5.875,
2012-09-10,,,7.2,
2012-09-11,,,3.391,
2012-09-12,,,5.5,
2012-09-13,,,13.125,
2012-09-14,,,16.5,
2012-09-15,,,7.833,
2012-09-16,,,7.458,
2012-09-17,,,4.583,
2012-09-18,,,3.13,
2012-09-19,,,11.667,
2012-09-20,,,15.542,
2012-09-21,,,14.667,
2012-09-22,,,13.167,
2012-09-23,,,11.417,
2012-09-24,,,4.864,
2012-09-25,,,6.783,
2012-09-26,,,8.208,
2012-09-27,,,8.542,
2012-09-28,,,9.0,
2012-09-29,,,17.0,
2012-09-30,,,15.0,
2012-10-01,,,3.304,
2012-10-02,,,5.917,
2012-10-03,,,6.762,
2012-10-04,,,5.917,
2012-10-05,,,6.136,
2012-10-06,,,10.125,
2012-10-07,,,10.458,
2012-10-08,,,7.25,
2012-10-09,,,7.2,
2012-10-10,,,12.375,
2012-10-11,,,15.542,
2012-10-12,,,6.042,
2012-10-13,,,10.542,
2012-10-14,,,19.0,
2012-10-15,,,19.174,
2012-10-16,,,17.667,
2012-10-17,,,10.958,
2012-10-18,,,7.042,
2012-10-19,,,6.417,
2012-10-20,,,12.542,
2012-10-21,,,20.917,
2012-10-22,,,21.636,
2012-10-23,,,8.583,
2012-10-24,,,8.125,
2012-10-25,,,9.625,
2012-10-26,,,13.458,
2012-10-27,,,20.417,
2012-10-28,,,8.208,
2012-10-29,,,6.318,
2012-10-30,,,9.0,
2012-10-31,,,4.75,
2012-11-01,,,7.667,
2012-11-02,,,9.417,
2012-11-03,,,10.542,
2012-11-04,,,5.417,
2012-11-05,,,14.136,
2012-11-06,,,15.87,
2012-11-07,,,15.958,
2012-11-08,,,20.875,
2012-11-09,,,22.0,
2012-11-10,,,7.083,
2012-11-11,,,4.083,
2012-11-12,,,12.909,
2012-11-13,,,17.5,
2012-11-14,,,8.625,
2012-11-15,,,1.208,
2012-11-16,,,4.208,
2012-11-17,,,6.833,
2012-11-18,,,9.208,
2012-11-19,,,10.957,
2012-11-20,,,10.708,
2012-11-21,,,6.125,
2012-11-22,,,12.083,
2012-11-23,,,13.083,
2012-11-24,,,5.167,
2012-11-25,,,5.333,
2012-11-26,,,5.87,
2012-11-27,,,2.417,
2012-11-28,,,5.833,
2012-11-29,,,17.042,
2012-11-30,,,11.708,
2012-12-01,,,2.625,
2012-12-02,,,3.458,
2012-12-03,,,7.957,
2012-12-04,,,6.833,
2012-12-05,,,11.708,
2012-12-06,,,5.333,
2012-12-07,,,7.458,
2012-12-08,,,8.792,
2012-12-09,,,5.708,
2012-12-10,,,1.455,
2012-12-11,,,2.542,
2012-12-12,,,2.042,
2012-12-13,,,5.792,
2012-12-14,,,10.083,
2012-12-15,,,8.708,
2012-12-16,,,9.125,
2012-12-17,,,12.87,
2012-12-18,,,5.875,
2012-12-19,,,1.875,
2012-12-20,,,3.042,
2012-12-21,,,4.458,
2012-12-22,,,5.917,
2012-12-23,,,11.708,
2012-12-24,,,0.083,
2012-12-25,,,6.957,
2012-12-26,,,1.542,
2012-12-27,,,2.5,
2012-12-28,,,4.083,
2012-12-29,,,1.917,
2012-12-30,,,4.0,
2012-12-31,,,3.5,
2013-01-01,193.75,6.875,19.958,200.625
2013-01-02,192.167,4.708,10.208,196.875
