date,CH4_mean,CO_mean,HUM_max,HUM_mean,HUM_min,NMHC_mean,NO2_mean,NOX_mean,NO_mean,SO2_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min,THC_mean
2011-02-15,182.609,8.217,94.0,73.292,52.0,15.957,27.333,82.708,55.375,2.435,21.167,6.8,4.408,2.9,198.565
2011-02-16,179.429,6.409,58.0,44.125,20.0,10.571,19.773,46.182,26.409,2.727,20.409,7.5,3.875,1.5,190.0
2011-02-17,179.261,6.375,70.0,49.375,37.0,7.696,15.833,38.917,23.083,2.958,14.583,5.9,2.679,-0.8,186.957
2011-02-18,182.435,6.083,92.0,79.417,63.0,7.435,16.958,34.542,17.583,2.083,14.625,0.6,-0.704,-1.6,189.87
2011-02-19,182.652,7.25,84.0,66.833,43.0,11.435,23.458,50.792,27.333,2.375,17.458,4.3,0.258,-4.5,194.087
2011-02-20,181.13,8.4,80.0,58.708,31.0,17.522,36.875,112.542,75.667,2.542,21.208,7.3,2.721,-1.3,198.652
2011-02-21,183.478,11.75,85.0,64.583,38.0,27.957,44.042,146.0,101.958,4.375,29.333,7.6,3.692,-1.5,211.435
2011-02-22,182.435,9.043,90.0,64.667,37.0,19.391,36.0,95.583,59.583,4.522,31.083,11.0,7.25,3.3,201.826
2011-02-23,182.136,8.565,95.0,77.174,47.0,18.5,19.826,39.478,19.652,2.818,18.435,11.5,9.108,7.5,200.636
2011-02-24,181.391,7.75,61.0,45.042,27.0,12.13,16.167,25.792,9.625,3.625,36.792,10.8,7.521,5.0,193.522
2011-02-25,182.217,8.958,84.0,73.083,60.0,17.13,27.833,58.542,30.708,2.667,27.583,7.3,6.171,4.9,199.348
2011-02-26,180.522,5.833,83.0,60.083,44.0,4.609,6.583,10.208,3.625,2.0,13.458,4.8,3.217,1.0,185.13
2011-02-27,181.957,5.708,71.0,53.25,44.0,5.391,5.583,7.958,2.375,1.958,14.25,2.7,1.212,0.1,187.348
2011-02-28,182.043,7.083,68.0,40.875,21.0,11.391,23.458,65.833,42.375,2.375,14.875,6.2,2.862,-2.5,193.435
2011-03-01,180.636,7.826,90.0,66.5,42.0,20.409,29.478,81.696,52.217,2.783,23.348,13.2,7.7,1.9,201.045
2011-03-02,181.87,9.125,94.0,84.833,65.0,23.13,30.208,65.125,34.917,3.167,18.292,9.5,8.071,6.9,205.0
2011-03-03,181.174,6.208,66.0,44.542,23.0,6.783,9.958,16.167,6.208,2.375,22.292,11.0,7.817,5.1,187.957
2011-03-04,181.348,6.5,88.0,74.042,55.0,7.261,13.958,18.583,4.625,2.042,19.333,8.3,5.542,2.9,188.609
