date,CH4_mean,CO_mean,HUM_max,HUM_mean,HUM_min,NMHC_mean,NO2_mean,NOX_mean,NO_mean,PM25_mean,SO2_mean,TEMP_max,TEMP_mean,TEMP_min,THC_mean
2015-01-01,205.458,4.0,98.0,81.958,53.0,5.042,3.0,3.833,0.833,12.833,0.542,10.4,6.629,3.3,210.5
2015-01-02,203.667,4.042,84.0,72.417,57.0,4.833,3.083,3.625,0.542,22.167,1.5,13.7,9.758,6.5,208.5
2015-01-03,201.833,4.125,96.0,84.75,72.0,5.333,3.583,4.333,0.75,23.083,1.167,15.0,10.792,8.2,207.167
2015-01-04,206.0,5.292,97.0,84.625,68.0,11.708,9.0,24.071,15.071,43.417,1.625,14.3,9.958,7.0,217.708
2015-01-05,206.167,4.917,95.0,84.917,65.0,13.917,,,,31.083,1.667,10.5,7.729,6.2,220.083
2015-01-06,204.091,4.583,96.0,81.75,56.0,12.136,,,,15.955,1.0,11.9,7.612,4.9,216.227
2015-01-07,202.87,4.125,98.0,96.667,89.0,13.696,,,,10.625,0.875,6.3,5.221,3.1,216.565
2015-01-08,202.25,4.042,94.0,81.208,72.0,12.958,,,,12.042,0.708,8.1,5.046,2.7,215.208
2015-01-09,202.958,3.667,93.0,71.625,46.0,8.917,,,,9.208,1.458,9.3,5.625,3.0,211.875
2015-01-10,202.0,3.792,83.0,69.5,54.0,6.958,,,,13.25,0.417,9.0,6.554,3.8,208.958
2015-01-11,202.75,4.125,98.0,82.458,58.0,6.917,,,,16.833,0.417,10.0,6.338,4.4,209.667
2015-01-12,201.292,3.833,98.0,97.583,96.0,10.125,,,,4.833,0.208,4.4,2.95,1.8,211.417
2015-01-13,202.667,3.522,98.0,87.875,68.0,10.417,,,,7.917,0.652,7.3,3.462,1.2,213.083
2015-01-14,202.913,3.542,92.0,81.083,68.0,10.957,,,,10.875,0.625,6.1,3.833,1.8,213.87
2015-01-15,203.625,4.917,98.0,89.75,73.0,12.0,,,,14.292,0.792,6.8,3.521,1.5,215.625
2015-01-16,203.875,3.667,97.0,87.583,62.0,7.208,,,,12.875,0.667,8.0,4.25,2.4,211.083
2015-01-17,203.167,3.667,98.0,87.125,68.0,7.25,,,,12.5,1.083,8.9,4.838,1.7,210.417
