date,CH4_mean,NMHC_mean,NO2_mean,NOX_mean,NO_mean,PM25_mean,SPM_mean,THC_mean
2015-07-25,178.20833333333334,13.583333333333334,5.541666666666667,14.375,8.833333333333334,8.416666666666666,11.083333333333334,191.79166666666666
2015-07-26,177.66666666666666,12.083333333333334,5.0,10.0,5.0,9.041666666666666,11.0,189.75
2015-07-27,178.54166666666666,13.5,10.666666666666666,15.166666666666666,4.5,13.75,27.875,192.04166666666666
2015-07-28,183.20833333333334,15.666666666666666,14.458333333333334,22.416666666666668,7.958333333333333,21.833333333333332,41.125,198.875
2015-07-29,187.625,16.0,14.125,21.416666666666668,7.291666666666667,32.083333333333336,66.45833333333333,203.625
2015-07-30,190.0,17.17391304347826,13.956521739130435,19.73913043478261,5.782608695652174,37.95652173913044,74.47826086956522,207.17391304347825
2015-07-31,187.7826086956522,15.434782608695652,12.173913043478262,15.608695652173912,3.4347826086956523,36.291666666666664,64.625,203.2173913043478
2015-08-01,184.91666666666666,14.791666666666666,10.291666666666666,12.625,2.3333333333333335,34.208333333333336,54.333333333333336,199.70833333333334
2015-08-02,183.95833333333334,13.25,6.666666666666667,8.083333333333334,1.4166666666666667,39.458333333333336,62.666666666666664,197.20833333333334
2015-08-03,183.125,13.5,10.416666666666666,13.625,3.2083333333333335,39.5,63.708333333333336,196.625
2015-08-04,183.70833333333334,13.75,12.958333333333334,16.125,3.1666666666666665,41.583333333333336,63.75,197.45833333333334
2015-08-05,184.20833333333334,13.75,12.0,15.291666666666666,3.2916666666666665,43.791666666666664,64.70833333333333,197.95833333333334
2015-08-06,184.45833333333334,14.166666666666666,10.625,14.041666666666666,3.4166666666666665,37.291666666666664,58.666666666666664,198.625
2015-08-07,183.63636363636363,14.681818181818182,11.0,15.363636363636363,4.363636363636363,26.47826086956522,40.08695652173913,198.3181818181818
2015-08-08,184.83333333333334,14.625,8.416666666666666,11.333333333333334,2.9166666666666665,20.666666666666668,33.708333333333336,199.45833333333334
2015-08-09,183.625,13.916666666666666,5.916666666666667,7.458333333333333,1.5416666666666667,18.0,26.666666666666668,197.54166666666666
2015-08-10,184.33333333333334,12.458333333333334,8.083333333333334,11.0,2.9166666666666665,20.375,27.666666666666668,196.79166666666666
2015-08-11,187.95652173913044,12.478260869565217,9.695652173913043,12.0,2.3043478260869565,26.782608695652176,36.21739130434783,200.43478260869566
2015-08-12,189.25,13.083333333333334,12.708333333333334,17.666666666666668,4.958333333333333,20.458333333333332,34.166666666666664,202.33333333333334
2015-08-13,186.20833333333334,12.208333333333334,7.916666666666667,10.708333333333334,2.7916666666666665,9.875,14.5,198.41666666666666
2015-08-14,186.56521739130434,12.695652173913043,6.434782608695652,8.869565217391305,2.4347826086956523,11.916666666666666,16.916666666666668,199.2608695652174
2015-08-15,190.16666666666666,11.333333333333334,6.208333333333333,7.916666666666667,1.7083333333333333,19.625,23.0,201.5
2015-08-16,193.41666666666666,12.208333333333334,5.291666666666667,6.458333333333333,1.1666666666666667,27.291666666666668,34.958333333333336,205.625
2015-08-17,188.16666666666666,13.541666666666666,12.833333333333334,17.791666666666668,4.958333333333333,10.125,14.75,201.70833333333334
2015-08-18,187.875,12.208333333333334,10.041666666666666,14.583333333333334,4.541666666666667,13.333333333333334,18.75,200.08333333333334
2015-08-19,189.5,13.875,14.083333333333334,19.083333333333332,5.0,14.875,21.625,203.375
2015-08-20,184.82608695652175,14.826086956521738,14.782608695652174,22.434782608695652,7.6521739130434785,14.217391304347826,22.869565217391305,199.65217391304347
2015-08-21,181.54545454545453,15.863636363636363,11.904761904761905,20.761904761904763,8.857142857142858,14.636363636363637,30.217391304347824,197.4090909090909
2015-08-22,185.66666666666666,14.958333333333334,9.625,17.416666666666668,7.791666666666667,8.75,10.416666666666666,200.625
2015-08-23,188.29166666666666,11.833333333333334,5.625,7.25,1.625,11.375,12.583333333333334,200.125
2015-08-24,189.70833333333334,12.0,9.25,12.708333333333334,3.4583333333333335,14.166666666666666,18.291666666666668,201.70833333333334
2015-08-25,186.95833333333334,10.958333333333334,5.5,6.75,1.25,8.041666666666666,12.458333333333334,197.91666666666666
2015-08-26,187.5,10.458333333333334,9.833333333333334,15.666666666666666,5.833333333333333,6.333333333333333,5.708333333333333,197.95833333333334
2015-08-27,188.79166666666666,11.0,10.208333333333334,15.125,4.916666666666667,13.041666666666666,14.375,199.79166666666666
2015-08-28,191.45454545454547,10.954545454545455,13.818181818181818,18.181818181818183,4.363636363636363,20.652173913043477,23.26086956521739,202.4090909090909
2015-08-29,192.04166666666666,11.0,12.583333333333334,16.5,3.9166666666666665,25.041666666666668,32.166666666666664,203.04166666666666
2015-08-30,188.75,9.25,7.583333333333333,9.458333333333334,1.875,12.5,15.625,198.0
2015-08-31,192.79166666666666,10.458333333333334,18.083333333333332,24.833333333333332,6.75,11.083333333333334,12.208333333333334,203.25
2015-09-01,188.33333333333334,13.166666666666666,17.875,29.958333333333332,12.083333333333334,10.833333333333334,10.0,201.5
2015-09-02,185.75,9.291666666666666,10.875,16.708333333333332,5.833333333333333,12.0,14.0,195.04166666666666
2015-09-03,187.08333333333334,9.958333333333334,12.291666666666666,17.666666666666668,5.375,20.833333333333332,26.458333333333332,197.04166666666666
2015-09-04,192.82608695652175,12.608695652173912,12.473684210526315,18.31578947368421,5.842105263157895,25.52173913043478,31.217391304347824,205.43478260869566
2015-09-05,193.91666666666666,10.041666666666666,10.708333333333334,13.541666666666666,2.8333333333333335,20.875,24.25,203.95833333333334
2015-09-06,194.29166666666666,10.541666666666666,11.0,14.041666666666666,3.0416666666666665,8.833333333333334,9.125,204.83333333333334
2015-09-07,189.54166666666666,7.208333333333333,9.583333333333334,15.875,6.291666666666667,8.125,6.416666666666667,196.75
2015-09-08,188.29166666666666,6.208333333333333,7.5,13.375,5.875,8.5,8.25,194.5
2015-09-09,187.375,10.541666666666666,13.791666666666666,20.208333333333332,6.416666666666667,6.791666666666667,3.8333333333333335,197.91666666666666
2015-09-10,188.625,8.375,11.521739130434783,19.0,7.478260869565218,6.958333333333333,5.916666666666667,197.0
2015-09-11,190.45454545454547,15.954545454545455,10.565217391304348,17.52173913043478,6.956521739130435,12.5,10.458333333333334,206.4090909090909
2015-09-12,191.95833333333334,10.333333333333334,11.583333333333334,16.666666666666668,5.083333333333333,19.875,20.25,202.29166666666666
2015-09-13,190.83333333333334,8.041666666666666,6.416666666666667,8.875,2.4583333333333335,10.208333333333334,7.625,198.875
2015-09-14,191.41666666666666,8.25,9.958333333333334,15.5,5.541666666666667,10.625,7.041666666666667,199.66666666666666
2015-09-15,191.25,8.125,9.875,13.333333333333334,3.4583333333333335,14.125,10.666666666666666,199.375
2015-09-16,191.66666666666666,10.541666666666666,15.041666666666666,23.625,8.583333333333334,16.458333333333332,17.541666666666668,202.20833333333334
2015-09-17,189.875,10.625,14.458333333333334,22.583333333333332,8.125,9.583333333333334,10.041666666666666,200.5
2015-09-18,188.34782608695653,8.26086956521739,10.318181818181818,17.227272727272727,6.909090909090909,12.5,12.583333333333334,196.6086956521739
2015-09-19,188.58333333333334,7.666666666666667,7.375,11.958333333333334,4.583333333333333,11.625,11.958333333333334,196.25
2015-09-20,188.5,7.833333333333333,5.416666666666667,7.583333333333333,2.1666666666666665,10.791666666666666,10.166666666666666,196.33333333333334
2015-09-21,188.70833333333334,8.916666666666666,7.041666666666667,11.0,3.9583333333333335,12.208333333333334,10.875,197.625
2015-09-22,188.04166666666666,9.916666666666666,8.791666666666666,13.041666666666666,4.25,14.833333333333334,13.625,197.95833333333334
2015-09-23,190.41666666666666,10.75,10.166666666666666,13.375,3.2083333333333335,23.291666666666668,24.416666666666668,201.16666666666666
2015-09-24,189.16666666666666,11.75,14.208333333333334,20.875,6.666666666666667,11.166666666666666,10.0,200.91666666666666
2015-09-25,188.5,12.409090909090908,12.272727272727273,22.318181818181817,10.045454545454545,7.434782608695652,9.478260869565217,200.9090909090909
2015-09-26,187.20833333333334,11.208333333333334,8.25,12.291666666666666,4.041666666666667,8.583333333333334,11.25,198.41666666666666
2015-09-27,187.25,9.791666666666666,6.666666666666667,9.333333333333334,2.6666666666666665,14.25,19.166666666666668,197.04166666666666
2015-09-28,187.91666666666666,10.291666666666666,10.5,17.916666666666668,7.416666666666667,15.291666666666666,15.25,198.20833333333334
2015-09-29,189.41666666666666,9.333333333333334,10.583333333333334,16.416666666666668,5.833333333333333,13.958333333333334,14.166666666666666,198.75
2015-09-30,190.25,9.708333333333334,12.0,16.833333333333332,4.833333333333333,11.666666666666666,14.666666666666666,199.95833333333334
